restaurant	zagat	address
2000	2000	5848	4123
0000	3	4183 Roswell Rd. NE	(Interlochen Dr.)	Atlanta, GA 30342
1057	3	2108 Colorado Blvd.	(Eagle Rock Blvd.)	Eagle Rock, CA 90041
1058	2	87 Aquarium Way	Long Beach, CA 90802
1059	3	13390 Jamboree Rd.	(Bryan Ave.)	Irvine, CA 92602
1060	2	4541 Eagle Rock Blvd	Los Angeles, CA 90041
1061	3	1261 Cabrillo Ave.	(Torrance Blvd.)	Torrance, CA 90501
1062	3	535 S. Lake Ave.	(California Blvd.)	Pasadena, CA 91101
1063	2	305 N Hesperian St	Santa Ana, CA 92703
1064	2	20929 Ventura Blvd	Woodland Hls, CA 91364
1065	2	25710 The Old Rd	Stevenson Ranch, CA 91381
1066	3	4609 Van Nuys Blvd.	(Hortense St.)	Sherman Oaks, CA 91403
1067	2	7801 Melrose Ave	Los Angeles, CA 90046
1068	3	1534 N. McCadden Pl.	(Sunset Blvd.)	Hollywood, CA 90028
1069	2	19346 Rinaldi St	Northridge, CA 91326
1070	3	1534 Montana Ave.	(16th St.)	Santa Monica, CA 90403
1071	2	516 S Myrtle Ave	Monrovia, CA 91016
1072	5	Luxe Hotel Rodeo Dr.	|	360 N. Rodeo Dr.	(bet. Santa Monica & Wilshire Blvds.)	Beverly Hills, CA 90210
1073	3	3932 W. Sunset Blvd.	(bet. Hyperion & Sanborn Aves.)	Los Angeles, CA 90029
1074	3	8459 Beverly Blvd.	(La Cienega Blvd.)	Los Angeles, CA 90048
1075	2	961 E Green St	Pasadena, CA 91106
1076	2	201 S La Brea Ave	Los Angeles, CA 90036
1077	2	17923 MacArthur Blvd	Irvine, CA 92614
1078	2	4716 E 2nd St	Long Beach, CA 90803
1079	3	6935 Pacific Ave.	(Culver Blvd.)	Playa del Rey, CA 90293
1080	5	Villa del Sol	|	305 N. Harbor Blvd.	(bet. Chapman & Commonwealth Aves.)	Fullerton, CA 92831
1081	3	10509 Valley View St.	(Cerritos Ave.)	Cypress, CA 90630
1082	5	Trump Nat'l Golf Course	|	1 Ocean Trails Dr.	(Palos Verdes Dr.)	Rancho Palos Verdes, CA 90275
1083	3	1521 N. Vine St.	(Sunset Blvd.)	Hollywood, CA 90028
1084	3	2005 Westwood Blvd.	(La Grange Ave.)	West LA, CA 90025
1085	5	Westfield Santa Anita	|	400 S. Baldwin Ave.	(W. Huntington Dr.)	Arcadia, CA 91007
1086	3	1553 Westwood Blvd.	(Ohio St.)	Los Angeles, CA 90024
1087	3	2025 Pacific Ave.	(Venice Blvd.)	Venice, CA 90291
1088	3	831 S. La Brea Ave.	(bet. 8th & 9th Sts.)	Los Angeles, CA 90036
1089	2	193 Culver Blvd	Playa del Rey, CA 90293
1090	2	19688 Beach Blvd	Huntingtn Bch, CA 92648
1091	3	9683 Wilshire Blvd.	(Bedford Dr.)	Beverly Hills, CA 90212
1092	2	10463 Santa Monica Blvd	Los Angeles, CA 90025
1093	3	4356 Woodman Ave.	(bet. Moorpark St. & Ventura Blvd.)	Sherman Oaks, CA 91423
1094	5	High Plaza	|	5112 Hollywood Blvd.	(bet. Normandie Ave. & Winona Blvd.)	Los Angeles, CA 90027
1095	3	350 S. Grand Ave.	(bet. 3rd & 4th Sts.)	Los Angeles, CA 90071
1096	2	3900 W Sunset Blvd	Los Angeles, CA 90029
1097	2	14100 Culver Dr	Irvine, CA 92604
1098	3	3266 W. Sixth St.	(bet. Berendo St. & New Hampshire Ave.)	Los Angeles, CA 90020
1099	3	800 E. Whittier Blvd.	(bet. Cypress St. & Harbor Blvd.)	La Habra, CA 90631
1100	2	6725 W Sunset Blvd	Los Angeles, CA 90028
1101	3	219 S. Fair Oaks Ave.	(bet. Orange Pl. & Valley St.)	Pasadena, CA 91105
1102	3	1511 N. Cahuenga Blvd.	(Sunset Blvd.)	Hollywood, CA 90028
1103	3	2801 W. PCH	(Riverside Dr.)	Newport Beach, CA 92663
1104	3	7533 W. Sunset Blvd.	(bet. Gardner St. & Sierra Bonita Ave.)	Hollywood, CA 90046
1105	3	1501 Hermosa Ave.	(15th St.)	Hermosa Beach, CA 90254
1106	2	6300 Pacific Coast Hwy	Redondo Beach, CA 90501
1107	2	1441 W Knox St	Torrance, CA 90501
1108	5	Manhattan Vill.	|	3282 N. Sepulveda Blvd.	(bet. Ardmore Ave. & 30th St.)	Manhattan Beach, CA 90266
1109	3	3330 W. Olympic Blvd.	(Manhattan Pl.)	Los Angeles, CA 90019
1110	2	1000 S San Gabriel Blvd	San Gabriel, CA 91776
1111	2	2406 S Barrington Ave	Los Angeles, CA 90064
1112	3	617 S. Olive St.	(bet. 6th & 7th Sts.)	Los Angeles, CA 90014
1113	2	219 N Central Ave	Glendale, CA 91203
1114	3	7215 N. Rosemead Blvd.	(Huntington Dr.)	San Gabriel, CA 91775
1115	3	3626 Sunset Blvd.	(Edgecliffe Dr.)	Los Angeles, CA 90026
1116	2	1104 Highland Ave Ste C	Manhattan Beach, CA 90266
1117	3	17499 Ventura Blvd.	(Encino Ave.)	Encino, CA 91316
1118	3	308 N. PCH	(Aster St.)	Laguna Beach, CA 92651
1119	5	Woodbury Shopping Ctr.	|	6416 Irvine Blvd.	(Sand Canyon Ave.)	Irvine, CA 92620
1120	3	2200 Newport Blvd.	(22nd St.)	Newport Beach, CA 92663
1121	3	217 Broadway St	(Pacific Coast Highway)	Laguna Beach, CA 92651
1122	3	9105 W. Olympic Blvd.	(Doheny Dr.)	Beverly Hills, CA 90212
1123	2	36 W Colorado Blvd	Pasadena, CA 91105
1124	2	1521 Griffith Park Blvd	Los Angeles, CA 90026
1125	2	2130 Sawtelle Blvd	Los Angeles, CA 90025
1126	3	145 N. Robertson Blvd.	(Burton Way)	West Hollywood, CA 90048
1127	2	145 S Robertson Blvd	Los Angeles, CA 90048
1128	3	216 W. Sixth St.	(bet. Broadway & Spring St.)	Los Angeles, CA 90014
1129	3	9749 Little Santa Monica Blvd.	(bet. Linden & Roxbury Drs.)	Beverly Hills, CA 90210
1130	2	11288 Ventura Blvd Ste F	Studio City, CA 91604
1131	3	9023 E. Washington Blvd.	(Rosemead Blvd.)	Pico Rivera, CA 90660
1132	3	9071 Santa Monica Blvd.	(Doheny Dr.)	West Hollywood, CA 90069
1133	2	18501 Victory Blvd	Reseda, CA 91335
1134	2	4822 Laurel Canyon Blvd	Valley Village, CA 91607
1135	2	24523 Newhall Ave	Newhall, CA 91321
1136	3	3800 S. Plaza Dr.	(Sunflower Ave.)	Santa Ana, CA 92704
1137	3	16358 Ventura Blvd.	(Noeline Ave.)	Encino, CA 91436
1138	3	1250 Cabrillo Ave.	(Torrance Blvd.)	Torrance, CA 90501
1139	3	1088 S. Baldwin Ave.	(Arcadia Ave.)	Arcadia, CA 91007
1140	2	2575 W Pico Blvd	Los Angeles, CA 90006
1141	3	6600 Sunset Blvd.	(Seward St.)	Hollywood, CA 90028
1142	2	3730 Verdugo Rd	Montrose, CA 91020
1143	2	23525 Palomino Dr	Diamond Bar, CA 91765
1144	2	345 N La Brea Ave	Los Angeles, CA 90036
1145	3	5156 Lankershim Blvd	(Magnolia)	North Hollywood, CA 91601
1146	2	5156 Lankershim Blvd	North Hollywood, CA 91601
1147	3	2838 Rowena Ave.	(bet. Glendale Blvd. & Hyperion Ave.)	Los Angeles, CA 90039
1148	2	4211 Admiralty Way	Marina del Rey, CA 90292
1149	2	4513 Inglewood Blvd	Culver City, CA 90230
1150	2	6622 Van Nuys Blvd	Van Nuys, CA 91405
1151	2	241 N Brand Blvd	Glendale, CA 91203
1152	2	1528 W Pico Blvd	Los Angeles, CA 90015
1153	2	636 N Euclid Ave	Ontario, CA 91762
1154	2	400 E Washington Blvd	Los Angeles, CA 90015
1155	2	27510 The Old Rd	Valencia, CA 91355
1156	3	644 S. Figueroa St.	(bet. 7th St. & Wilshire Blvd.)	Los Angeles, CA 90017
1157	3	6683 Hollywood Blvd.	(Las Palmas Ave.)	Hollywood, CA 90028
1158	3	7458 Beverly Blvd.	(bet. Gardner & Vista Sts.)	Los Angeles, CA 90036
1159	3	2960 N Beverly Glen Cir	(near Mulholland)	Los Angeles, CA 90077
1160	3	9420 W. Pico Blvd.	(Beverly Dr.)	Los Angeles, CA 90035
1161	2	25336 Crenshaw Blvd	Torrance, CA 90505
1162	2	726 S Alameda St	Los Angeles, CA 90021
1163	3	1627 Colorado Blvd.	(Vincent Ave.)	Los Angeles, CA 90041
1164	2	21830 Nordhoff St	Chatsworth, CA 91311
1165	3	2702 Main St	(Hill Street)	Santa Monica, CA 90405
1166	3	11720 Ventura Blvd.	(Colfax Ave.)	Studio City, CA 91604
1167	3	720 W. First St.	(Hope St.)	Los Angeles, CA 90012
1168	2	529 S Central Ave	Los Angeles, CA 90013
1169	2	161 E Orange Grove Ave	Burbank, CA 91502
1170	2	12740 Culver Blvd	Los Angeles, CA 90066
1171	3	1017 Manhattan Ave.	(bet. 10th Pl. & 11th St.)	Manhattan Beach, CA 90266
1172	2	949 N Hill St	Los Angeles, CA 90012
1173	3	7253 Santa Monica Blvd.	(bet. Formosa Ave. & Poinsettia Dr.)	West Hollywood, CA 90046
1174	3	7156 Santa Monica Blvd.	(Formosa Ave.)	West Hollywood, CA 90046
1175	2	11151 Los Alamitos Blvd	Los Alamitos, CA 90720
1176	3	3505 Highland Ave.	(35th St.)	Manhattan Beach, CA 90266
1177	2	300 Pacific Coast Hwy Ste 201	Huntington Beach, CA 92648
1178	2	1936 E 7th St	Los Angeles, CA 90021
1179	3	4137 E. Anaheim St.	(bet. Belmont & Roswell Aves.)	Long Beach, CA 90804
1180	3	316 Pier Ave.	(Monterey Blvd.)	Hermosa Beach, CA 90254
1181	2	19106 Normandie Ave	Torrance, CA 90502
1182	3	3216 Washington Blvd.	(Lincoln Blvd.)	Marina del Rey, CA 90292
1183	2	2383 Lomita Blvd Ste 102	Lomita, CA 90717
1184	5	Westlake Plaza	|	982 S. Westlake Blvd.	(bet. Agoura & Townsgate Rds.)	Westlake Village, CA 91361
1185	2	6117 Reseda Blvd	Tarzana, CA 91335
1186	2	1249 W Carson St	Torrance, CA 90502
1187	3	1109 N. Brand Blvd.	(Dryden St.)	Glendale, CA 91202
1188	3	27400 PCH	(4 mi. north of Malibu Canyon Rd.)	Malibu, CA 90265
1189	3	135 Pine Ave.	(bet. B'way & 1st St.)	Long Beach, CA 90802
1190	5	The Getty Ctr.	|	1200 Getty Center Dr.	(Sepulveda Blvd.)	Los Angeles, CA 90049
1191	2	22330 Sherman Way	Canoga Park, CA 91303
1192	3	17300 PCH	(Sunset Blvd.)	Pacific Palisades, CA 90272
1193	3	134 N. La Cienega Blvd.	(bet. San Vincente & Wilshire Blvds.)	Beverly Hills, CA 90211
1194	5	Miyako Hybrid Hotel	|	21381 S. Western Ave.	(bet. 213th & 214th Sts.)	Torrance, CA 90501
1195	2	23802 Lyons Ave	Newhall, CA 91321
1196	2	11911 W Olympic Blvd	Los Angeles, CA 90064
1197	2	12265 Ventura Blvd	Studio City, CA 91604
1198	2	1662 Centinela Ave	Inglewood, CA 90302
1199	3	69 W. Green St.	(bet. De Lacey & Fair Oaks Aves.)	Pasadena, CA 91105
1200	5	Hollywood & Highland Ctr.	|	6801 Hollywood Blvd.	(Highland Ave.)	Hollywood, CA 90028
1201	3	11980 Santa Monica Blvd.	(Bundy Dr.)	West LA, CA 90025
1202	3	163 N. La Cienega Blvd.	(Clifton Way)	Beverly Hills, CA 90211
1203	5	The LAB	|	2930 Bristol St.	(bet. Baker St. & Randolph Ave.)	Costa Mesa, CA 92626
1204	5	South Coast Plaza	|	3333 Bear St.	(S. Coast Dr.)	Costa Mesa, CA 92626
1205	3	8288 Santa Monica Blvd.	(Sweetzer Ave.)	West Hollywood, CA 90046
1206	2	11831 Wilshire Blvd	Los Angeles, CA 90025
1207	2	250 Beach St	Laguna Beach, CA 92651
1208	2	12222 Wilshire Blvd	Los Angeles, CA 90025
1209	5	Universal CityWalk	|	1000 Universal Studios Blvd.	(off Rte. 101)	Universal City, CA 91608
1210	2	1112 N Brookhurst St	Anaheim, CA 92801
1211	3	750 Terrado Plaza	(bet. Citrus & Workman Aves.)	Covina, CA 91723
1212	2	313 Manhattan Beach Blvd	Manhattan Beach, CA 90266
1213	2	11401 Moorpark St	North Hollywood, CA 91602
1214	5	Hollywood Heights Hotel	|	2005 N. Highland Ave.	(Franklin Ave.)	Hollywood, CA 90068
1215	3	11058 Santa Monica Blvd.	(Bentley Ave.)	West LA, CA 90025
1216	2	556 El Camino Real	Tustin, CA 92780
1217	3	11901 Santa Monica Blvd.	(Armacost Ave.)	West LA, CA 90025
1218	3	1 W. Main St.	(Garfield Ave.)	Alhambra, CA 91801
1219	3	1014 Wilshire Blvd.	(bet. 10th & 11th Sts.)	Santa Monica, CA 90401
1220	3	858 S. PCH	(bet. St. Ann Dr. & Thalia St.)	Laguna Beach, CA 92651
1221	2	390 E Walnut St	Pasadena, CA 91101
1222	2	6051 Hollywood Blvd	Los Angeles, CA 90028
1223	2	4251 Martingale Way	Newport Beach, CA 92660
1224	3	8741 Sunset Blvd.	(Sherbourne Dr.)	West Hollywood, CA 90069
1225	2	14130 Culver Dr Ste M	Irvine, CA 92604
1226	3	3110 Glendale Blvd.	(Glenhurst Ave.)	Los Angeles, CA 90039
1227	3	11425 Foothill Blvd.	(Milliken Ave.)	Rancho Cucamonga, CA 91730
1228	5	Kajima Bldg.	|	111 S. San Pedro St.	(1st St.)	Los Angeles, CA 90012
1229	5	Irvine Spectrum	|	59 Fortune Dr.	(Pacifica)	Irvine, CA 92618
1230	3	2400 W. PCH	(Tustin Ave.)	Newport Beach, CA 92663
1231	3	927 E. Colorado Blvd.	(bet. Lake & Mentor Aves.)	Pasadena, CA 91106
1232	2	339 N Brand Blvd	Glendale, CA 91203
1233	2	11900 South St	Cerritos, CA 90703
1234	3	8350 W. Third St.	(bet. Fairfax Ave. & La Cienega Blvd.)	West Hollywood, CA 90048
1235	3	1023 Abbot Kinney Blvd.	(B'way)	Venice, CA 90291
1236	3	10516 W. Pico Blvd.	(½ block west of Beverly Glen Blvd.)	Rancho Park, CA 90064
1237	3	2424 Pico Blvd.	(25th St.)	Santa Monica, CA 90405
1238	2	451 Manhattan Beach Blvd Ste D122	Manhattan Beach, CA 90266
1239	5	Hotel Ménage	|	1221 S. Harbor Blvd.	(Ball Rd.)	Anaheim, CA 92805
1240	3	9240 Culver Blvd.	(Washington Blvd.)	Culver City, CA 90232
1241	2	3539 E Foothill Blvd	Pasadena, CA 91107
1242	2	9701 Reseda Blvd	Northridge, CA 91324
1243	3	8325 Lincoln Blvd.	(bet. 83rd & 84th Sts.)	Westchester, CA 90045
1244	3	10863 Magnolia Blvd.	(Satsuma Ave.)	North Hollywood, CA 91601
1245	3	5921 Owensmouth Ave.	(bet. Califa & Oxnard Sts.)	Woodland Hills, CA 91367
1246	2	252 W Los Angeles Ave	Moorpark, CA 93021
1247	2	595 N Lake Ave	Pasadena, CA 91101
1248	2	13400 Washngtn Blvd	Culver City, CA 90230
1249	2	1607 E Wardlow Rd	Long Beach, CA 90807
1250	2	265 S Robertson Blvd	Beverly Hills, CA 90211
1251	2	1023 Montana Ave	Santa Monica, CA 90403
1252	2	6608 Hollywood Blvd	Hollywood, CA 90028
1253	2	3179 Los Feliz Blvd	Los Angeles, CA 90039
1254	3	11838 Ventura Blvd.	(bet. Colfax Ave. & Laurel Canyon Blvd.)	Studio City, CA 91604
1255	2	3700 N Figueroa St	Los Angeles, CA 90065
1256	2	2414 S Vermont Ave	Los Angeles, CA 90007
1257	2	1332 Sartori Ave	Torrance, CA 90501
1258	2	4030 Gage Ave	Bell, CA 90201
1259	2	23532 El Toro Rd	Lake Forest, CA 92630
1260	2	638 N Doheny Dr	West Hollywood, CA 90069
1261	3	9785 Santa Monica Blvd.	(Wilshire Blvd.)	Beverly Hills, CA 90210
1262	3	252 N. Beverly Dr.	(bet. Dayton Way & Wilshire Blvd.)	Beverly Hills, CA 90210
1263	2	44 W Green St	Pasadena, CA 91105
1264	3	1842 E. First St.	(bet. Boyle Ave. & State St.)	Boyle Heights, CA 90033
1265	2	710 S Allied Way	El Segundo, CA 90245
1266	2	856 S Vermont Ave	Los Angeles, CA 90005
1267	3	107 N. Larchmont Blvd.	(Beverly Blvd.)	Los Angeles, CA 90004
1268	2	2909 Pico Blvd	Santa Monica, CA 90405
1269	3	361 Cliff Dr.	(PCH)	Laguna Beach, CA 92651
1270	3	3441 E. Broadway	(bet. Newport & Redondo Aves.)	Long Beach, CA 90803
1271	3	11938 Ventura Blvd.	(bet. Carpenter Ave. & Laurel Canyon Blvd.)	Studio City, CA 91604
1272	2	13290 Jamboree Rd	Irvine, CA 92602
1273	5	Sunset Plaza	|	8654 W. Sunset Blvd.	(Sunset Plaza Dr.)	West Hollywood, CA 90069
1274	3	127 N. Larchmont Blvd.	(bet. Beverly Blvd. & 1st St.)	Hancock Park, CA 90004
1275	3	13360 Ventura Blvd.	(Dixie Canyon Ave.)	Sherman Oaks, CA 91423
1276	3	11611 Santa Monica Blvd.	(bet. Barry & Federal Aves.)	West LA, CA 90025
1277	3	9725 Culver Blvd.	(bet. Duquesne Ave. & Lafayette Pl.)	Culver City, CA 90232
1278	2	10244 Lakewood Blvd	Downey, CA 90241
1279	2	11403 Victory Blvd	North Hollywood, CA 91606
1280	3	Helms Ave.	(bet. Venice & Washington Blvds.)	Culver City, CA 90232
1281	2	3412 E Broadway	Long Beach, CA 90803
1282	2	1370 S Beach Blvd	La Habra, CA 90631
1283	2	8902 Garden Grove Blvd	Garden Grove, CA 92844
1284	3	231 Arizona Ave.	(2nd St.)	Santa Monica, CA 90401
1285	3	4059 Lincoln Blvd.	(Washington Blvd.)	Marina del Rey, CA 90292
1286	5	Huntington Plaza	|	7862 Warner Ave.	(bet. Ash St. & Beach Blvd.)	Huntington Beach, CA 92647
1287	3	1360 N. Vine St.	(De Longpre Ave.)	Hollywood, CA 90028
1288	2	13011 Newport Ave	Tustin, CA 92780
1289	2	24130 Lyons Ave	Santa Clarita, CA 91321
1290	2	10149 Riverside Dr	Toluca Lake, CA 91602
1291	2	24781 Alicia Pkwy	Laguna Hills, CA 92653
1292	3	2325 Palos Verdes Dr. W.	(Yarmouth Rd.)	Palos Verdes Estates, CA 90274
1293	3	223 W. Eighth St.	(Main St.)	Los Angeles, CA 90014
1294	2	2941 E Broadway	Long Beach, CA 90803
1295	3	8897 Beverly Blvd.	(Swall Dr.)	West Hollywood, CA 90048
1296	2	2606 W Sunset Blvd	Los Angeles, CA 90026
1297	2	3313 N Verdugo Rd	Glendale, CA 91208
1298	3	6266½ Sunset Blvd.	(bet. Argyle Ave. & Vine St.)	Hollywood, CA 90028
1299	3	713 E. Green St.	(bet. El Molino & Oak Knoll Aves.)	Pasadena, CA 91101
1300	3	8620 Wilshire Blvd.	(Carson Rd.)	Beverly Hills, CA 90211
1301	3	707 N. Stanley Ave.	(Melrose Ave.)	Los Angeles, CA 90046
1302	2	3011 Newport Blvd	Newport Beach, CA 92663
1303	2	3012 Newport Blvd	Newport Beach, CA 92663
1304	3	8165 Santa Monica Blvd.	(Laurel Cyn. Blvd.)	West Hollywood, CA 90046
1305	2	2125 Sawtelle Blvd	Los Angeles, CA 90025
1306	3	10962 Ventura Blvd.	(Vineland Ave.)	Studio City, CA 91604
1307	5	South Coast Plaza	|	3333 Bristol St.	(Anton Blvd.)	Costa Mesa, CA 92626
1308	3	4905 Santa Monica Blvd.	(Edgemont St.)	Los Angeles, CA 90029
1309	3	151 E. Walnut St.	(bet. Marengo & Raymond Aves.)	Pasadena, CA 91103
1310	3	25 22nd St.	(bet. Beach Dr. & Hermosa Ave.)	Hermosa Beach, CA 90254
1311	2	24250 Town Center Dr Ste 180	Valencia, CA 91355
1312	5	Terranea Resort	|	6610 Palos Verdes Dr. S.	(Hawthorne Blvd.)	Rancho Palos Verdes, CA 90275
1313	3	1446 E. Katella Ave.	(Tustin St.)	Orange, CA 92867
1314	3	13329 W. Washington Blvd.	(Walgrove Ave.)	Venice, CA 90066
1315	3	2931 E. PCH	(bet. Heliotrope & Iris Aves.)	Corona del Mar, CA 92625
1316	3	2791 N. Main St.	(Town & Country Rd.)	Santa Ana, CA 92705
1317	3	190 Marina Dr.	(PCH)	Long Beach, CA 90803
1318	3	3211 Beverly Blvd.	(Hoover St.)	Los Angeles, CA 90057
1319	3	12161 Ventura Blvd.	(bet. Laurel Canyon Blvd. & Vantage Ave.)	Studio City, CA 91604
1320	3	2121 Hillhurst Ave.	(bet. Ambrose Ave. & Avocado St.)	Los Angeles, CA 90027
1321	3	4741 Eagle Rock Blvd.	(bet. Las Colinas & Ridgeview Aves.)	Los Angeles, CA 90041
1322	2	13905 Ventura Blvd	Sherman Oaks, CA 91423
1323	3	1076 Gayley Ave.	(bet. Kinross Ave. & Weyburn Dr.)	Westwood, CA 90024
1324	3	261 S. Mission Dr.	(W. B'way)	San Gabriel, CA 91776
1325	2	5227 Mission Oaks Blvd	Camarillo, CA 93012
1326	2	2212 W Sunset Blvd	Los Angeles, CA 90026
1327	2	19463 Ventura Blvd	Tarzana, CA 91356
1328	3	1212 Third St. Promenade	(bet. Arizona Ave. & Wilshire Blvd.)	Santa Monica, CA 90401
1329	3	11927 Santa Monica Blvd.	(bet. Armacost & Brockton Aves.)	West LA, CA 90025
1330	3	20356 PCH	(bet. Big Rock Dr. & Las Flores Canyon Rd.)	Malibu, CA 90265
1331	5	The Grove	|	189 The Grove Dr.	(bet. Beverly Blvd. & 3rd St.)	Los Angeles, CA 90036
1332	3	1809 Ocean Front Walk	(18th Pl.)	Venice, CA 90291
1333	3	344 N. Camden Dr.	(bet. Brighton Way & Wilshire Blvd.)	Beverly Hills, CA 90210
1334	2	341 1/2 E 1st St	Los Angeles, CA 90012
1335	3	8039 Beach Blvd.	(bet. Crescent & La Palma Aves.)	Buena Park, CA 90620
1336	2	10405 Burbank Blvd	North Hollywood, CA 91601
1337	3	903 Manhattan Ave.	(9th St.)	Manhattan Beach, CA 90266
1338	3	17040 Ventura Blvd.	(Oak Park Ave.)	Encino, CA 91316
1339	3	7275 Melrose Ave.	(bet. Alta Vista Ave. & Poinsettia Pl.)	Hollywood, CA 90046
1340	3	424 Wilshire Blvd.	(bet. 4th & 5th Sts.)	Santa Monica, CA 90401
1341	3	7669 Beverly Blvd.	(Spaulding Ave.)	Los Angeles, CA 90036
1342	3	1621 Wilshire Blvd.	(bet. 16th & 17th Sts.)	Santa Monica, CA 90403
1343	2	140 Pier Ave	Hermosa Beach, CA 90254
1344	2	950 Ontario Mills Dr	Ontario, CA 91764
1345	2	10830 Warner Ave	Fountain Valley, CA 92708
1346	2	26870 The Old Rd	Valencia, CA 91381
1347	3	524 S. Main St.	(bet. 5th & 6th Sts.)	Los Angeles, CA 90013
1348	2	2764 Rowena Ave	Los Angeles, CA 90039
1349	5	Mary Brickell Vlg.	|	900 S. Miami Ave.	(bet. 9th & 10th Sts.)	Miami, FL 33130
1350	5	Four Seasons	|	1435 Brickell Ave.	(bet. SE 14th Ln. & SE 14th Terr.)	Miami, FL 33131
1351	3	124 S. Federal Hwy.	(SE 2nd St.)	Hallandale, FL 33009
1352	5	Westin Diplomat Resort	|	3555 S. Ocean Dr.	(E. Hallandale Beach Blvd.)	Hallandale, FL 33019
1353	2	16375 Biscayne Blvd	Aventura, FL 33160
1354	2	6255 Stirling Rd	Davie, FL 33314
1355	5	Conrad Miami Hotel	|	1395 Brickell Ave.	(SE 14th St.)	Miami, FL 33131
1356	3	7200 SW Eighth St.	(bet. SW 72nd & 73rd Aves.)	West Miami, FL 33144
1357	2	4 Grove Isle Dr	Miami, FL 33133
1358	3	109 NE Second Ave.	(NE 1st St.)	Miami, FL 33132
1359	2	1902 Hollywood Blvd	Hollywood, FL 33020
1360	3	2884 SW 27th Ave.	(Coconut Ave.)	Coconut Grove, FL 33133
1361	5	1800 Biscayne Plaza	|	275 NE 18th St.	(entrance on Biscayne Blvd.)	Miami, FL 33132
1362	5	Dadeland Plaza Mall	|	9519 S. Dixie Hwy.	(Datran Blvd.)	South Miami, FL 33156
1363	5	Ritz-Carlton Coconut Grove	|	3300 SW 27th Ave.	(bet. Bayshore Dr. & Tigertail Ave.)	Coconut Grove, FL 33133
1364	3	7201 SW 59th Ave.	(Sunset Dr.)	South Miami, FL 33143
1365	3	601 Biscayne Blvd.	(bet. 6th & 7th Sts.)	Miami, FL 33132
1366	5	Bayside Mktpl.	|	401 Biscayne Blvd.	(bet. NE 4th & 5th Sts.)	Miami, FL 33132
1367	3	1766 Bay Rd.	(bet. Abe Resnick Blvd. & 18th St.)	Miami Beach, FL 33139
1368	3	850 Ocean Dr.	(bet. 8th & 9th Sts.)	Miami Beach, FL 33139
1369	3	7310 S. Red Rd.	(bet. 73rd & 74th Sts.)	South Miami, FL 33143
1370	3	414 71st St.	(Abbott Ave.)	Miami Beach, FL 33141
1371	2	15406 NW 77th Ct	Hialeah, FL 33016
1372	3	18600 NW 87th Ave.	(Rte. 75)	Miami Lakes, FL 33018
1373	2	2437 SW 17th Ave	Miami, FL 33145
1374	3	19088 NE 29th Ave.	(bet. NE 191st St. & 28th Ave.)	Aventura, FL 33180
1375	3	3176 Commodore Plaza	(Grand Ave.)	Coconut Grove, FL 33133
1376	3	840 First St.	(bet. Alton Rd. & Washington Ave.)	Miami Beach, FL 33139
1377	2	1100 NE 79th St	Miami, FL 33138
1378	3	264 Giralda Ave.	(bet. Ponce de Leon Blvd. & Salzedo St.)	Coral Gables, FL 33134
1379	2	3000 Oakwood Blvd	Hollywood, FL 33020
1380	3	7230 SW 59th Ave.	(SW 72nd St.)	South Miami, FL 33143
1381	2	4016 S Red Rd	Miami, FL 33155
1382	3	15450 New Barn Rd.	(67th Ave.)	Miami Lakes, FL 33014
1383	2	225 SW 17th Ave	Miami, FL 33135
1384	2	1830 SW 3rd Ave	Miami, FL 33129
1385	3	712 Atlantic Shores Blvd.	(N. Federal Hwy.)	Hallandale, FL 33009
1386	3	186 NE 29th St.	(2nd Ave.)	Miami, FL 33137
1387	2	11415 S Dixie Hwy	Miami, FL 33156
1388	3	437 Washington Ave.	(bet. 4th & 5th Sts.)	Miami Beach, FL 33139
1389	2	1558 S Dixie Hwy	Coral Gables, FL 33146
1390	3	398 NW North River Dr.	(NW 4th St.)	Miami, FL 33128
1391	2	300 72nd St	Miami Beach, FL 33141
1392	5	Sabal Chase Shoppes	|	10712 SW 113th Pl.	(107th St.)	Kendall, FL 33176
1393	3	1201 Brickell Ave.	(12th St.)	Miami, FL 33131
1394	3	28 NE 40th St.	(N. Miami Ave.)	Miami, FL 33137
1395	5	Aventura Mall	|	19501 Biscayne Blvd.	(NE 195th St.)	Aventura, FL 33180
1396	2	905 N Broadwalk	Hollywood, FL 33019
1397	5	Westin Diplomat Resort	|	3555 S. Ocean Dr.	(E. Hallandale Beach Blvd.)	Hollywood, FL 33019
1398	3	17355 Biscayne Blvd.	(NE 172nd St.)	North Miami Beach, FL 33179
1399	5	One Miami Tower	|	335 S. Biscayne Blvd.	(SE 3rd St.)	Miami, FL 33131
1400	5	Acqualina Hotel	|	17875 Collins Ave.	(bet. 178th & 183rd Sts.)	Sunny Isles Beach, FL 33160
1401	2	131 26th St	Miami Beach, FL 33140
1402	2	5650 Stirling Rd Ste 16	Hollywood, FL 33021
1403	3	1787 Purdy Ave.	(bet. 17th & 18th Sts.)	Miami Beach, FL 33139
1404	3	11 Washington Ave.	(bet. 1st St. & S. Pointe Dr.)	Miami Beach, FL 33139
1405	2	8240 NW 36th St	Doral, FL 33166
1406	2	12895 SW 42nd St	Miami, FL 33175
1407	3	404 Washington Ave.	(4th St.)	Miami Beach, FL 33139
